[13969, 8112, 4770, 3993, 3101, 2498, 2305, 2334, 3041, 4357, 5843, 7415, 7651, 6835, 5856, 3902, 2713, 2027, 735, 613, 1615, 2388, 1966, 264, 1]
[1914, 6448, 10919, 8394, 8177, 10058, 8448, 7093, 5900, 4545, 6192, 2482, 665, 404, 322, 287, 285, 278, 249, 259, 290, 437, 13081, 1077, 100]
[982, 6677, 16619, 11150, 3552, 3737, 5664, 5347, 6179, 7963, 10244, 9207, 3262, 1433, 1072, 900, 775, 728, 631, 523, 320, 328, 915, 96, 0]
[1518, 3292, 4061, 4651, 4917, 5775, 10760, 16301, 17344, 11817, 4361, 3264, 2782, 2401, 1308, 454, 294, 288, 314, 344, 513, 387, 956, 192, 10]
[2077, 4342, 3887, 3517, 3645, 4277, 5424, 6802, 7531, 5770, 5772, 14456, 13264, 6520, 3229, 1711, 1235, 913, 839, 605, 550, 657, 1106, 157, 18]
[2610, 3747, 2554, 2266, 2372, 2476, 2537, 2925, 3408, 4204, 5979, 9803, 13307, 12642, 8553, 4917, 2282, 831, 335, 129, 70, 86, 9549, 714, 8]
[8267, 2181, 1565, 2116, 3102, 4076, 5425, 6304, 6740, 7392, 8827, 9746, 6919, 2792, 655, 172, 91, 154, 723, 2536, 4799, 2720, 10925, 70, 7]
[6232, 10203, 8308, 6757, 5931, 6058, 6205, 7085, 8335, 8455, 6314, 2467, 763, 408, 355, 272, 271, 258, 298, 651, 1595, 2181, 8452, 419, 31]
[1750, 3216, 2689, 2928, 3710, 4657, 5920, 6779, 7144, 7200, 8648, 8820, 9280, 6964, 5128, 6584, 4574, 1690, 439, 126, 42, 15, 1, 0, 0]
[2703, 7226, 3537, 3616, 4909, 6596, 7742, 7875, 6941, 5168, 3936, 5125, 5222, 5611, 3319, 4202, 3631, 3828, 4932, 832, 551, 379, 231, 153, 39]
[152, 962, 1778, 4193, 7697, 9951, 11704, 12048, 9728, 8466, 7509, 6325, 4610, 3115, 2511, 1921, 1501, 1225, 804, 508, 471, 386, 412, 278, 49]
[1360, 1486, 2055, 2243, 2528, 3012, 3579, 4304, 5771, 7669, 9959, 13108, 13053, 5830, 1766, 1001, 1150, 1626, 2240, 3763, 4464, 3339, 2721, 265, 12]
[2246, 5244, 7623, 9974, 10065, 8490, 7859, 6800, 5416, 3452, 1930, 967, 653, 561, 659, 1117, 1445, 2447, 3105, 3466, 4059, 3583, 6615, 458, 70]
[674, 1689, 2138, 2173, 2636, 3330, 4142, 5070, 6653, 9793, 14869, 16350, 12876, 7354, 3436, 1374, 760, 642, 442, 373, 318, 380, 533, 261, 38]
[1200, 1548, 1666, 1595, 1667, 1653, 1850, 2297, 2924, 3525, 4413, 5407, 6478, 8118, 9198, 7716, 5038, 2896, 2837, 7589, 8139, 10363, 169, 17, 1]
[2376, 2138, 1410, 1120, 1002, 1096, 1474, 2333, 4346, 7504, 11567, 14372, 12149, 5890, 1878, 665, 268, 909, 1840, 4192, 6959, 7036, 5542, 222, 16]
[2174, 1088, 720, 869, 1377, 2266, 3738, 6299, 9039, 9867, 9562, 9421, 7744, 4604, 2909, 2980, 4236, 4349, 4510, 4131, 2788, 1892, 1436, 293, 12]
[2079, 1341, 1982, 3973, 7134, 8691, 7087, 5441, 4958, 4913, 5910, 6170, 6297, 5345, 4645, 5209, 5336, 4083, 2931, 2282, 1168, 562, 537, 224, 6]
[142, 171, 219, 298, 563, 926, 1237, 1708, 2615, 3830, 6018, 7055, 5707, 4180, 2864, 1798, 1100, 720, 448, 284, 203, 238, 1496, 7854, 8827]
[3545, 4654, 4861, 4968, 5526, 5871, 6431, 6947, 7846, 8493, 9128, 9113, 8060, 5792, 3731, 1844, 847, 383, 186, 59, 18, 0, 1, 0, 0]
[1672, 3551, 3611, 3805, 4018, 4422, 4957, 5507, 6148, 6734, 7400, 8090, 8005, 6984, 4521, 2440, 1636, 2234, 3962, 5000, 2854, 572, 146, 28, 7]
[66, 1737, 3566, 4807, 6693, 7856, 8125, 8253, 8250, 7902, 7625, 8102, 10486, 9318, 4119, 916, 259, 104, 44, 30, 21, 14, 9, 2, 0]
[434, 1552, 2330, 2724, 3293, 3692, 4036, 4095, 4241, 4581, 5138, 5733, 6529, 7691, 9333, 9598, 7963, 7809, 5682, 1520, 295, 31, 2, 2, 0]
[439, 845, 1427, 2047, 2547, 3092, 3798, 5028, 6828, 8093, 10286, 12180, 12140, 14941, 11962, 2060, 432, 87, 32, 22, 12, 4, 2, 0, 0]
[199, 882, 1719, 1825, 1857, 1721, 1912, 2025, 2452, 2874, 4075, 5576, 8125, 11105, 12107, 9518, 6689, 7502, 8776, 5507, 1732, 110, 14, 2, 0]
[974, 2162, 4234, 7626, 8717, 8911, 8933, 7910, 7325, 6416, 5747, 5364, 5229, 4917, 4486, 3368, 2313, 1437, 924, 566, 419, 227, 72, 20, 7]
[437, 1114, 1859, 2386, 3037, 3428, 3928, 4562, 5402, 6166, 7095, 7881, 8234, 7601, 7268, 7162, 7873, 6828, 3892, 1625, 429, 83, 13, 1, 0]
[1, 1181, 16890, 9395, 8292, 5013, 5375, 5176, 4280, 4408, 5408, 6159, 4919, 5950, 5286, 3508, 1900, 1257, 877, 649, 248, 123, 1890, 119, 0]
[14375, 6332, 3649, 3540, 3294, 2773, 2609, 2914, 9000, 7549, 6523, 5451, 5290, 4918, 3208, 1502, 1283, 1370, 1858, 3467, 6551, 90, 695, 63, 0]
[0, 0, 90, 1804, 6756, 7376, 5520, 6166, 5848, 8133, 11495, 12555, 11562, 10930, 6532, 2307, 1048, 177, 5, 0, 0, 0, 0, 0, 0]
[847, 5019, 7893, 5914, 5742, 4512, 3205, 4345, 6180, 9053, 14861, 15888, 7831, 4640, 1776, 335, 38, 21, 29, 21, 93, 59, 2, 0, 0]
[4363, 6635, 722, 732, 545, 496, 17555, 55164, 931, 1084, 2276, 2861, 2515, 1821, 604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[10588, 16544, 8022, 3386, 3844, 4836, 5764, 3185, 4100, 4439, 6681, 6600, 6950, 5539, 4221, 3058, 522, 25, 0, 0, 0, 0, 0, 0, 0]
[685, 14615, 17057, 12394, 7240, 6010, 6389, 5933, 6182, 4938, 4144, 3552, 2987, 4460, 1447, 235, 33, 3, 0, 0, 0, 0, 0, 0, 0]
[6567, 15332, 2560, 2878, 2691, 2716, 2236, 1984, 1723, 1568, 2085, 3518, 5805, 7671, 7039, 6333, 4290, 3811, 4519, 5352, 3585, 2130, 1705, 188, 18]
[20854, 9780, 6018, 3633, 2750, 2944, 3816, 3729, 4048, 5422, 7536, 7384, 10313, 5597, 2191, 1574, 689, 24, 1, 1, 0, 0, 0, 0, 0]
[411, 12140, 10115, 6282, 6849, 8147, 11725, 7980, 5046, 4588, 4887, 4651, 4283, 3207, 2543, 1906, 1614, 1403, 501, 22, 4, 0, 0, 0, 0]
[66250, 4545, 331, 348, 4763, 7760, 2755, 2249, 2353, 1936, 1420, 890, 556, 395, 302, 260, 268, 201, 191, 479, 52, 0, 0, 0, 0]
[79948, 2511, 1375, 1101, 2293, 1934, 1346, 1135, 1127, 809, 708, 454, 380, 329, 272, 220, 232, 216, 318, 1319, 249, 26, 2, 0, 0]
[9369, 7296, 17675, 16616, 18422, 10275, 5037, 4344, 2957, 2183, 1486, 957, 529, 294, 221, 211, 172, 117, 77, 43, 20, 3, 0, 0, 0]
[1632, 5252, 9401, 13227, 13124, 9245, 7807, 7201, 6897, 8650, 10500, 3156, 1043, 274, 77, 25, 21, 20, 21, 37, 280, 411, 3, 0, 0]
[26953, 7754, 5372, 5812, 4485, 3506, 2658, 2956, 4049, 4644, 4057, 3124, 2820, 3464, 4266, 5896, 4822, 1193, 376, 90, 6, 1, 0, 0, 0]
[16059, 12501, 13087, 9759, 9195, 10105, 5011, 3702, 2459, 2414, 2298, 2289, 2113, 1735, 1218, 1246, 1113, 796, 722, 361, 119, 2, 0, 0, 0]
[26436, 6736, 5618, 4688, 5522, 8673, 5986, 5423, 5799, 5795, 4353, 4122, 2274, 1522, 1132, 851, 623, 617, 877, 858, 373, 26, 0, 0, 0]
[0, 0, 0, 0, 1, 7, 16, 22, 14, 45, 204, 816, 8705, 7212, 2823, 1421, 1186, 1581, 1443, 5955, 13734, 10600, 41408, 1100, 11]
[2136, 4580, 2132, 2653, 3871, 4113, 3955, 3765, 3683, 4784, 6177, 7365, 7514, 8076, 5790, 4365, 5198, 5704, 4884, 3230, 1853, 1191, 886, 371, 28]
[116, 189, 372, 750, 841, 1391, 2386, 758, 676, 1056, 1420, 1502, 1085, 1068, 1011, 5007, 19681, 10598, 26952, 21239, 183, 20, 3, 0, 0]
[124, 251, 436, 2171, 2247, 1356, 870, 805, 826, 2710, 5660, 3852, 1695, 1416, 1389, 1365, 1289, 1561, 4470, 11876, 12689, 19732, 19212, 292, 10]
[528, 977, 1424, 1076, 1453, 2266, 11005, 5436, 2447, 2246, 1992, 1815, 1610, 1259, 1127, 991, 1743, 10435, 7174, 9235, 9825, 10467, 11694, 66, 13]
[132, 458, 595, 1410, 1727, 1282, 1600, 3389, 2471, 1970, 1619, 1562, 1128, 749, 699, 745, 975, 1065, 4881, 6714, 13989, 22936, 25893, 306, 9]
[98, 125, 81, 102, 506, 2622, 3054, 1449, 1648, 1830, 1042, 607, 669, 814, 1240, 6264, 9529, 11816, 20936, 33389, 470, 13, 0, 0, 0]
[3790, 2772, 1428, 2293, 7766, 15251, 11628, 7634, 5974, 5048, 4175, 3289, 2488, 1904, 1952, 2065, 2573, 4084, 11497, 617, 73, 3, 0, 0, 0]
[0, 0, 0, 1, 59, 926, 4692, 3979, 2000, 1306, 1053, 1525, 1455, 1766, 1260, 1003, 1012, 1677, 6251, 10240, 9591, 12442, 35929, 137, 0]
[14368, 1351, 1472, 2892, 2862, 2557, 2955, 3483, 4472, 6712, 9100, 11832, 12078, 16133, 5797, 67, 9, 7, 21, 20, 96, 20, 0, 0, 0]
[1223, 1994, 2675, 4154, 4790, 5335, 6020, 8735, 13678, 15157, 11501, 7400, 5057, 3567, 2103, 1395, 801, 500, 298, 243, 267, 598, 813, 0, 0]
[3, 128, 12221, 7224, 4257, 1598, 1096, 1233, 5830, 6405, 15774, 18586, 15819, 6373, 1011, 256, 156, 126, 124, 69, 14, 1, 0, 0, 0]
[3305, 10352, 6187, 4761, 4329, 4475, 4792, 5840, 7482, 8440, 7407, 4241, 2619, 2382, 2020, 1741, 1544, 1756, 1824, 1733, 2740, 3916, 3404, 776, 238]
[0, 1, 19900, 5173, 1279, 1025, 947, 1335, 2139, 3783, 9550, 17936, 17625, 10671, 2716, 1598, 1148, 761, 338, 184, 145, 47, 3, 0, 0]
[40, 9728, 6991, 9862, 10319, 10467, 10239, 8045, 7256, 6341, 5623, 5159, 3782, 2081, 741, 467, 314, 262, 185, 128, 92, 66, 99, 17, 0]
[0, 0, 938, 741, 1661, 3578, 2264, 2048, 2645, 2841, 5379, 6609, 4683, 4945, 4953, 5080, 7133, 13006, 20820, 8809, 170, 1, 0, 0, 0]
[0, 224, 1542, 2016, 2964, 8316, 12849, 13296, 14439, 11747, 11131, 6283, 3759, 2908, 1985, 1412, 983, 647, 519, 416, 546, 317, 5, 0, 0]
[0, 0, 662, 5948, 17472, 10995, 10820, 9354, 9356, 7535, 5443, 4384, 4170, 3873, 4280, 3333, 646, 25, 6, 2, 0, 0, 0, 0, 0]
[0, 6, 3908, 4212, 5948, 10506, 15951, 9487, 4322, 3087, 2797, 3498, 4500, 5356, 6164, 7118, 5761, 3127, 1697, 698, 157, 4, 0, 0, 0]
[5874, 12282, 2973, 2444, 1185, 911, 1021, 1550, 2850, 4745, 10398, 12196, 6290, 5757, 3912, 3644, 3146, 3987, 5870, 3319, 2565, 581, 613, 182, 9]
[49625, 2317, 1389, 1138, 1704, 2222, 3535, 3226, 3045, 3431, 4038, 3781, 3421, 3122, 2807, 2557, 1984, 1565, 1130, 725, 572, 474, 359, 127, 10]
[1171, 39380, 1984, 1151, 961, 832, 860, 907, 1077, 1427, 2257, 3216, 4687, 6288, 10020, 10963, 6731, 4303, 89, 0, 0, 0, 0, 0, 0]
[1, 18048, 4263, 688, 758, 916, 753, 604, 566, 469, 588, 2687, 10732, 17694, 17982, 14947, 6594, 14, 0, 0, 0, 0, 0, 0, 0]
[4829, 4999, 3355, 3094, 3467, 4121, 4578, 4466, 3989, 3382, 3252, 3121, 3059, 3037, 2963, 2962, 3767, 6042, 7602, 4976, 9154, 7133, 527, 352, 77]
[15906, 8356, 7536, 6223, 4226, 3454, 2439, 1902, 1507, 1713, 2634, 4664, 8282, 8091, 3865, 4528, 6283, 4204, 1925, 461, 72, 25, 7, 1, 0]
[1022, 64231, 2338, 1924, 2253, 3242, 3376, 1695, 1254, 1192, 985, 806, 786, 876, 1203, 1554, 1996, 2104, 1740, 1534, 1115, 632, 348, 90, 8]
[17311, 5261, 3736, 3327, 4260, 5427, 5889, 6570, 5770, 4302, 3855, 5148, 11988, 8414, 3085, 1823, 1158, 516, 302, 149, 12, 1, 0, 0, 0]
[11, 2308, 14479, 8300, 10701, 20707, 17431, 4668, 3688, 2934, 2561, 2521, 2425, 1720, 1286, 1022, 686, 517, 268, 63, 8, 0, 0, 0, 0]
[0, 0, 30, 2614, 34868, 30174, 7961, 3973, 2548, 1858, 1432, 1317, 1260, 1388, 1400, 1248, 1173, 1260, 1185, 922, 723, 520, 348, 95, 7]
[621, 1156, 1312, 920, 795, 549, 486, 427, 459, 792, 2960, 12671, 44747, 19803, 9257, 123, 115, 136, 130, 167, 128, 155, 225, 153, 17]
[808, 804, 1055, 648, 314, 258, 335, 1854, 7418, 22451, 38141, 19204, 517, 284, 483, 692, 506, 341, 345, 386, 356, 299, 505, 273, 27]
[875, 743, 1090, 1244, 1107, 896, 680, 762, 1018, 4972, 18057, 30272, 25181, 5347, 375, 342, 766, 891, 581, 370, 392, 716, 1116, 472, 39]
[1129, 686, 733, 701, 400, 272, 252, 252, 224, 183, 200, 944, 7996, 59685, 22614, 558, 335, 285, 269, 393, 143, 44, 6, 0, 0]
[1055, 824, 428, 955, 1280, 1045, 546, 563, 3151, 17231, 22037, 29627, 14315, 675, 401, 399, 535, 577, 548, 516, 382, 388, 474, 289, 63]
[1582, 4281, 5615, 6428, 7150, 7817, 8202, 8481, 9403, 9099, 7132, 4417, 3658, 2471, 466, 252, 101, 61, 50, 53, 304, 1158, 9939, 183, 1]
[2272, 915, 473, 426, 356, 286, 243, 332, 388, 595, 488, 450, 640, 604, 426, 208, 191, 1010, 8946, 17444, 33337, 16930, 10739, 578, 27]
[382, 2036, 1181, 891, 1239, 1269, 1229, 1689, 2329, 574, 714, 672, 812, 709, 594, 387, 384, 346, 457, 585, 10157, 24922, 43818, 884, 44]
[315, 612, 578, 666, 775, 918, 877, 623, 603, 15933, 28422, 17468, 8886, 11273, 2287, 1488, 1240, 1270, 1234, 1370, 551, 208, 419, 258, 30]
[540, 1381, 1038, 830, 662, 443, 345, 455, 1386, 2189, 3645, 7729, 13879, 22476, 38169, 1173, 250, 144, 128, 272, 293, 274, 330, 210, 63]
[3196, 2059, 974, 462, 413, 456, 417, 352, 445, 614, 790, 1080, 1058, 837, 569, 297, 109, 75, 187, 2177, 29760, 32382, 19260, 283, 52]
[759, 941, 709, 477, 638, 766, 785, 760, 780, 707, 722, 758, 702, 627, 510, 441, 393, 429, 494, 12073, 38820, 25385, 8709, 619, 300]
[3434, 972, 166, 99, 91, 62, 47, 54, 48, 32, 45, 43, 42, 46, 40, 47, 62, 63, 853, 11165, 54315, 23178, 2998, 318, 84]
[505, 385, 258, 424, 368, 332, 350, 328, 415, 400, 391, 454, 801, 690, 536, 634, 696, 417, 2369, 10219, 34066, 27098, 15834, 290, 44]
[1672, 1163, 935, 947, 1670, 1754, 3256, 7894, 15715, 22620, 20010, 14143, 3442, 1302, 870, 507, 105, 40, 44, 42, 50, 80, 39, 4, 0]
[155, 498, 973, 965, 497, 315, 214, 480, 7730, 14883, 22997, 26895, 17933, 2287, 518, 437, 221, 111, 73, 46, 28, 16, 16, 15, 1]
[6156, 6626, 5210, 5860, 5066, 3805, 4330, 6135, 8604, 9109, 7894, 5549, 4672, 3442, 2475, 1546, 647, 309, 231, 132, 119, 109, 10106, 172, 0]
[1254, 2115, 2008, 1596, 2010, 2967, 3580, 5128, 8398, 12751, 17944, 16150, 9474, 4703, 2259, 1502, 869, 561, 364, 259, 230, 388, 1509, 258, 27]
[1782, 3787, 4705, 5276, 4988, 4641, 4583, 5330, 6727, 8561, 9806, 8184, 5996, 4311, 3149, 2582, 2185, 2028, 1891, 1687, 1936, 2308, 1640, 192, 29]
[1939, 4255, 4876, 5748, 7175, 8360, 9412, 9495, 9612, 9814, 10100, 7309, 3977, 2306, 1231, 772, 415, 273, 149, 123, 106, 128, 490, 223, 16]
[692, 1703, 2167, 2862, 2876, 3104, 2993, 4188, 10418, 21620, 19163, 8238, 4391, 3130, 2627, 2088, 1692, 1211, 945, 723, 475, 316, 510, 162, 10]
[2053, 2879, 2947, 3348, 3940, 4667, 5548, 6441, 7515, 8409, 8566, 8227, 7816, 7132, 5670, 4076, 2660, 1844, 1654, 1136, 577, 452, 435, 266, 46]
[1788, 7654, 8878, 15829, 17681, 13931, 9911, 5347, 2284, 1241, 820, 668, 593, 624, 563, 588, 624, 749, 989, 1446, 1909, 1858, 1786, 520, 23]
[1097, 1133, 2006, 3639, 4883, 5775, 6810, 8358, 13993, 20224, 11189, 2880, 1082, 756, 869, 543, 372, 326, 311, 353, 698, 3555, 6972, 463, 17]
[1019, 719, 692, 893, 1163, 1143, 1257, 1366, 1911, 4694, 9501, 12835, 12946, 11576, 9187, 7062, 5288, 4509, 3672, 2778, 1637, 1149, 1244, 61, 2]
[1514, 2850, 4713, 5480, 6147, 7205, 8045, 8054, 8472, 9148, 9033, 7268, 5019, 3336, 2497, 1732, 1129, 737, 665, 699, 770, 1217, 2323, 241, 10]
[6586, 9383, 9554, 10677, 11626, 11224, 9937, 7905, 5889, 3644, 1923, 1187, 837, 773, 749, 820, 722, 794, 803, 873, 697, 656, 869, 171, 5]
